ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCursosDisponibles	vercursosdisponibles	1591032725147	 	3.3.1
USER	VerCursosDisponibles	142	START	1591032738137	1591032738137
REQUEST	142		Home	1591032738137	1591032738141	OK	 
REQUEST	82		IniciarSesion	1591032738158	1591032738162	OK	 
USER	VerCursosDisponibles	143	START	1591032738227	1591032738227
REQUEST	143		Home	1591032738227	1591032738231	OK	 
REQUEST	83		IniciarSesion	1591032738249	1591032738252	OK	 
USER	VerCursosDisponibles	144	START	1591032738307	1591032738307
REQUEST	144		Home	1591032738307	1591032738310	OK	 
REQUEST	84		IniciarSesion	1591032738340	1591032738344	OK	 
USER	VerCursosDisponibles	145	START	1591032738387	1591032738387
REQUEST	145		Home	1591032738388	1591032738392	OK	 
REQUEST	85		IniciarSesion	1591032738408	1591032738412	OK	 
USER	VerCursosDisponibles	146	START	1591032738476	1591032738476
REQUEST	146		Home	1591032738477	1591032738480	OK	 
REQUEST	86		IniciarSesion	1591032738476	1591032738480	OK	 
USER	VerCursosDisponibles	147	START	1591032738557	1591032738557
REQUEST	147		Home	1591032738557	1591032738561	OK	 
REQUEST	87		IniciarSesion	1591032738568	1591032738572	OK	 
USER	VerCursosDisponibles	148	START	1591032738637	1591032738637
REQUEST	148		Home	1591032738637	1591032738643	OK	 
REQUEST	88		IniciarSesion	1591032738648	1591032738653	OK	 
USER	VerCursosDisponibles	149	START	1591032738725	1591032738725
REQUEST	149		Home	1591032738726	1591032738729	OK	 
REQUEST	89		IniciarSesion	1591032738726	1591032738729	OK	 
USER	VerCursosDisponibles	150	START	1591032738811	1591032738811
REQUEST	150		Home	1591032738812	1591032738818	OK	 
REQUEST	90		IniciarSesion	1591032738816	1591032738819	OK	 
USER	VerCursosDisponibles	151	START	1591032738890	1591032738890
REQUEST	151		Home	1591032738891	1591032738896	OK	 
REQUEST	91		IniciarSesion	1591032738901	1591032738904	OK	 
REQUEST	92		IniciarSesion	1591032738971	1591032738975	OK	 
USER	VerCursosDisponibles	152	START	1591032738975	1591032738975
REQUEST	152		Home	1591032738976	1591032738980	OK	 
USER	VerCursosDisponibles	153	START	1591032739055	1591032739055
REQUEST	153		Home	1591032739056	1591032739059	OK	 
REQUEST	93		IniciarSesion	1591032739066	1591032739069	OK	 
USER	VerCursosDisponibles	154	START	1591032739137	1591032739137
REQUEST	154		Home	1591032739138	1591032739143	OK	 
REQUEST	94		IniciarSesion	1591032739149	1591032739155	OK	 
USER	VerCursosDisponibles	155	START	1591032739229	1591032739229
REQUEST	95		IniciarSesion	1591032739229	1591032739233	OK	 
REQUEST	155		Home	1591032739230	1591032739235	OK	 
USER	VerCursosDisponibles	156	START	1591032739308	1591032739308
REQUEST	156		Home	1591032739309	1591032739315	OK	 
REQUEST	96		IniciarSesion	1591032739320	1591032739323	OK	 
USER	VerCursosDisponibles	157	START	1591032739387	1591032739387
REQUEST	157		Home	1591032739388	1591032739392	OK	 
REQUEST	97		IniciarSesion	1591032739409	1591032739412	OK	 
USER	VerCursosDisponibles	158	START	1591032739477	1591032739477
REQUEST	158		Home	1591032739478	1591032739483	OK	 
REQUEST	98		IniciarSesion	1591032739477	1591032739483	OK	 
USER	VerCursosDisponibles	159	START	1591032739561	1591032739561
REQUEST	159		Home	1591032739562	1591032739567	OK	 
REQUEST	99		IniciarSesion	1591032739566	1591032739569	OK	 
USER	VerCursosDisponibles	160	START	1591032739641	1591032739641
REQUEST	160		Home	1591032739641	1591032739647	OK	 
REQUEST	100		IniciarSesion	1591032739646	1591032739650	OK	 
USER	VerCursosDisponibles	161	START	1591032739730	1591032739730
REQUEST	101		IniciarSesion	1591032739731	1591032739737	OK	 
REQUEST	161		Home	1591032739731	1591032739739	OK	 
USER	VerCursosDisponibles	162	START	1591032739811	1591032739811
REQUEST	162		Home	1591032739811	1591032739819	OK	 
REQUEST	102		IniciarSesion	1591032739816	1591032739822	OK	 
USER	VerCursosDisponibles	163	START	1591032739885	1591032739885
REQUEST	163		Home	1591032739886	1591032739893	OK	 
REQUEST	103		IniciarSesion	1591032739897	1591032739900	OK	 
USER	VerCursosDisponibles	164	START	1591032739977	1591032739977
REQUEST	104		IniciarSesion	1591032739977	1591032739983	OK	 
REQUEST	164		Home	1591032739978	1591032739985	OK	 
USER	VerCursosDisponibles	165	START	1591032740056	1591032740056
REQUEST	165		Home	1591032740056	1591032740061	OK	 
REQUEST	105		IniciarSesion	1591032740067	1591032740070	OK	 
USER	VerCursosDisponibles	166	START	1591032740137	1591032740137
REQUEST	166		Home	1591032740137	1591032740143	OK	 
REQUEST	106		IniciarSesion	1591032740147	1591032740150	OK	 
USER	VerCursosDisponibles	167	START	1591032740228	1591032740228
REQUEST	107		IniciarSesion	1591032740228	1591032740235	OK	 
REQUEST	167		Home	1591032740229	1591032740236	OK	 
