ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.SolicitarTransporteMaxRendPerfomance	solicitartransportemaxrendperfomance	1590696459136	 	3.3.1
REQUEST	69		request_3	1590696477277	1590696477281	OK	 
REQUEST	66		request_3	1590696477277	1590696477281	OK	 
USER	solicitarTransportePos	95	START	1590696477593	1590696477593
USER	solicitarTransporteNeg	98	START	1590696477593	1590696477593
REQUEST	98		Home	1590696477594	1590696477600	OK	 
REQUEST	70		Login	1590696477594	1590696477600	OK	 
REQUEST	95		Home	1590696477594	1590696477601	OK	 
REQUEST	98		request_1	1590696477601	1590696477607	OK	 
REQUEST	70		request_3	1590696477601	1590696477610	OK	 
REQUEST	67		Login	1590696477600	1590696477611	OK	 
REQUEST	95		request_1	1590696477602	1590696477615	OK	 
REQUEST	67		request_3	1590696477612	1590696477618	OK	 
USER	solicitarTransporteNeg	102	START	1590696477913	1590696477913
USER	solicitarTransportePos	99	START	1590696477913	1590696477913
REQUEST	102		Home	1590696477913	1590696477919	OK	 
REQUEST	99		Home	1590696477913	1590696477919	OK	 
REQUEST	99		request_1	1590696477920	1590696477925	OK	 
REQUEST	102		request_1	1590696477920	1590696477926	OK	 
REQUEST	71		Login	1590696477944	1590696477950	OK	 
REQUEST	74		Login	1590696477944	1590696477950	OK	 
REQUEST	71		request_3	1590696477951	1590696477956	OK	 
REQUEST	74		request_3	1590696477951	1590696477956	OK	 
USER	solicitarTransporteNeg	103	START	1590696478244	1590696478244
USER	solicitarTransportePos	100	START	1590696478244	1590696478244
REQUEST	100		Home	1590696478245	1590696478251	OK	 
REQUEST	103		Home	1590696478245	1590696478251	OK	 
REQUEST	100		request_1	1590696478252	1590696478257	OK	 
REQUEST	103		request_1	1590696478252	1590696478258	OK	 
REQUEST	72		Login	1590696478269	1590696478274	OK	 
REQUEST	75		Login	1590696478269	1590696478274	OK	 
REQUEST	72		request_3	1590696478276	1590696478280	OK	 
REQUEST	75		request_3	1590696478276	1590696478280	OK	 
USER	solicitarTransporteNeg	104	START	1590696478572	1590696478572
