ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.InscribirCurso	inscribircurso	1591034731304	 	3.3.1
REQUEST	92		IniciarSesion	1591034745654	1591034745657	OK	 
USER	InscribirCurso	148	START	1591034745724	1591034745724
REQUEST	148		Home	1591034745724	1591034745728	OK	 
REQUEST	93		IniciarSesion	1591034745740	1591034745743	OK	 
USER	InscribirCurso	149	START	1591034745813	1591034745813
REQUEST	149		Home	1591034745814	1591034745817	OK	 
REQUEST	94		IniciarSesion	1591034745828	1591034745831	OK	 
USER	InscribirCurso	150	START	1591034745904	1591034745904
REQUEST	150		Home	1591034745905	1591034745910	OK	 
REQUEST	95		IniciarSesion	1591034745919	1591034745921	OK	 
USER	InscribirCurso	151	START	1591034745988	1591034745988
REQUEST	151		Home	1591034745989	1591034745992	OK	 
REQUEST	96		IniciarSesion	1591034746020	1591034746023	OK	 
USER	InscribirCurso	152	START	1591034746078	1591034746078
REQUEST	152		Home	1591034746079	1591034746087	OK	 
REQUEST	97		IniciarSesion	1591034746123	1591034746126	OK	 
USER	InscribirCurso	153	START	1591034746170	1591034746170
REQUEST	153		Home	1591034746171	1591034746176	OK	 
REQUEST	98		IniciarSesion	1591034746204	1591034746210	OK	 
USER	InscribirCurso	154	START	1591034746262	1591034746262
REQUEST	154		Home	1591034746262	1591034746270	OK	 
REQUEST	99		IniciarSesion	1591034746289	1591034746293	OK	 
USER	InscribirCurso	155	START	1591034746363	1591034746363
REQUEST	155		Home	1591034746364	1591034746372	OK	 
REQUEST	100		IniciarSesion	1591034746379	1591034746382	OK	 
USER	InscribirCurso	156	START	1591034746452	1591034746452
REQUEST	156		Home	1591034746453	1591034746458	OK	 
REQUEST	101		IniciarSesion	1591034746474	1591034746477	OK	 
USER	InscribirCurso	157	START	1591034746541	1591034746541
REQUEST	157		Home	1591034746542	1591034746548	OK	 
REQUEST	102		IniciarSesion	1591034746563	1591034746568	OK	 
USER	InscribirCurso	158	START	1591034746631	1591034746631
REQUEST	158		Home	1591034746631	1591034746635	OK	 
REQUEST	103		IniciarSesion	1591034746653	1591034746656	OK	 
USER	InscribirCurso	159	START	1591034746722	1591034746722
REQUEST	159		Home	1591034746722	1591034746730	OK	 
REQUEST	104		IniciarSesion	1591034746743	1591034746746	OK	 
USER	InscribirCurso	160	START	1591034746810	1591034746810
REQUEST	160		Home	1591034746810	1591034746814	OK	 
REQUEST	105		IniciarSesion	1591034746832	1591034746835	OK	 
USER	InscribirCurso	161	START	1591034746900	1591034746900
REQUEST	161		Home	1591034746900	1591034746905	OK	 
REQUEST	106		IniciarSesion	1591034746911	1591034746914	OK	 
USER	InscribirCurso	162	START	1591034746992	1591034746992
REQUEST	162		Home	1591034746993	1591034747003	OK	 
REQUEST	107		IniciarSesion	1591034747013	1591034747016	OK	 
USER	InscribirCurso	163	START	1591034747078	1591034747078
REQUEST	163		Home	1591034747079	1591034747082	OK	 
REQUEST	108		IniciarSesion	1591034747101	1591034747104	OK	 
USER	InscribirCurso	164	START	1591034747172	1591034747172
REQUEST	164		Home	1591034747172	1591034747176	OK	 
REQUEST	109		IniciarSesion	1591034747199	1591034747201	OK	 
USER	InscribirCurso	165	START	1591034747258	1591034747258
REQUEST	165		Home	1591034747259	1591034747262	OK	 
REQUEST	110		IniciarSesion	1591034747291	1591034747294	OK	 
USER	InscribirCurso	166	START	1591034747359	1591034747359
REQUEST	166		Home	1591034747359	1591034747363	OK	 
REQUEST	111		IniciarSesion	1591034747380	1591034747383	OK	 
